alg,sfd,Graph,density,seed,num_samps
ncfa,1,0,0,0,10000
ncfa,1,0,0,1,10000
ncfa,1,0,0,2,10000
ncfa,1,0,0,3,10000
ncfa,1,0,0,4,10000
ncfa,1,0,0,5,10000
ncfa,1,0,0,6,10000
ncfa,1,0,0,7,10000
ncfa,1,0,0,8,10000
ncfa,1,0,0,9,10000
ncfa,4,1,0,0,10000
ncfa,6,1,0,1,10000
ncfa,9,1,0,2,10000
ncfa,7,1,0,3,10000
ncfa,6,1,0,4,10000
ncfa,9,1,0,5,10000
ncfa,8,1,0,6,10000
ncfa,9,1,0,7,10000
ncfa,9,1,0,8,10000
ncfa,8,1,0,9,10000
ncfa,11,2,0,0,10000
ncfa,15,2,0,1,10000
ncfa,12,2,0,2,10000
ncfa,11,2,0,3,10000
ncfa,16,2,0,4,10000
ncfa,11,2,0,5,10000
ncfa,12,2,0,6,10000
ncfa,7,2,0,7,10000
ncfa,15,2,0,8,10000
ncfa,11,2,0,9,10000
ncfa,9,3,0,0,10000
ncfa,10,3,0,1,10000
ncfa,4,3,0,2,10000
ncfa,1,3,0,3,10000
ncfa,10,3,0,4,10000
ncfa,8,3,0,5,10000
ncfa,6,3,0,6,10000
ncfa,9,3,0,7,10000
ncfa,3,3,0,8,10000
ncfa,6,3,0,9,10000
ncfa,17,4,0,0,10000
ncfa,18,4,0,1,10000
ncfa,16,4,0,2,10000
ncfa,17,4,0,3,10000
ncfa,19,4,0,4,10000
ncfa,18,4,0,5,10000
ncfa,15,4,0,6,10000
ncfa,17,4,0,7,10000
ncfa,19,4,0,8,10000
ncfa,16,4,0,9,10000
ncfa,25,5,0,0,10000
ncfa,28,5,0,1,10000
ncfa,24,5,0,2,10000
ncfa,27,5,0,3,10000
ncfa,24,5,0,4,10000
ncfa,31,5,0,5,10000
ncfa,31,5,0,6,10000
ncfa,27,5,0,7,10000
ncfa,29,5,0,8,10000
ncfa,31,5,0,9,10000
ncfa,84,6,0,0,10000
ncfa,72,6,0,1,10000
ncfa,83,6,0,2,10000
ncfa,83,6,0,3,10000
ncfa,75,6,0,4,10000
ncfa,71,6,0,5,10000
ncfa,82,6,0,6,10000
ncfa,84,6,0,7,10000
ncfa,74,6,0,8,10000
ncfa,73,6,0,9,10000
xi1pc,0,0,0,0,10000
xi1pc,0,0,0,1,10000
xi1pc,0,0,0,2,10000
xi1pc,0,0,0,3,10000
xi1pc,0,0,0,4,10000
xi1pc,0,0,0,5,10000
xi1pc,0,0,0,6,10000
xi1pc,0,0,0,7,10000
xi1pc,0,0,0,8,10000
xi1pc,0,0,0,9,10000
xi1pc,0,1,0,0,10000
xi1pc,0,1,0,1,10000
xi1pc,0,1,0,2,10000
xi1pc,0,1,0,3,10000
xi1pc,0,1,0,4,10000
xi1pc,0,1,0,5,10000
xi1pc,0,1,0,6,10000
xi1pc,0,1,0,7,10000
xi1pc,0,1,0,8,10000
xi1pc,0,1,0,9,10000
xi1pc,0,2,0,0,10000
xi1pc,0,2,0,1,10000
xi1pc,0,2,0,2,10000
xi1pc,0,2,0,3,10000
xi1pc,0,2,0,4,10000
xi1pc,0,2,0,5,10000
xi1pc,0,2,0,6,10000
xi1pc,0,2,0,7,10000
xi1pc,0,2,0,8,10000
xi1pc,0,2,0,9,10000
xi1pc,0,3,0,0,10000
xi1pc,0,3,0,1,10000
xi1pc,0,3,0,2,10000
xi1pc,0,3,0,3,10000
xi1pc,0,3,0,4,10000
xi1pc,0,3,0,5,10000
xi1pc,0,3,0,6,10000
xi1pc,0,3,0,7,10000
xi1pc,0,3,0,8,10000
xi1pc,0,3,0,9,10000
xi1pc,0,4,0,0,10000
xi1pc,0,4,0,1,10000
xi1pc,0,4,0,2,10000
xi1pc,0,4,0,3,10000
xi1pc,0,4,0,4,10000
xi1pc,7,4,0,5,10000
xi1pc,0,4,0,6,10000
xi1pc,0,4,0,7,10000
xi1pc,0,4,0,8,10000
xi1pc,0,4,0,9,10000
xi1pc,0,5,0,0,10000
xi1pc,7,5,0,1,10000
xi1pc,7,5,0,2,10000
xi1pc,0,5,0,3,10000
xi1pc,0,5,0,4,10000
xi1pc,7,5,0,5,10000
xi1pc,0,5,0,6,10000
xi1pc,16,5,0,7,10000
xi1pc,7,5,0,8,10000
xi1pc,0,5,0,9,10000
xi1pc,5,6,0,0,10000
xi1pc,6,6,0,1,10000
xi1pc,0,6,0,2,10000
xi1pc,0,6,0,3,10000
xi1pc,0,6,0,4,10000
xi1pc,5,6,0,5,10000
xi1pc,0,6,0,6,10000
xi1pc,0,6,0,7,10000
xi1pc,0,6,0,8,10000
xi1pc,0,6,0,9,10000
